filename,type_a,type_b,type_c,type_d,echo,top_folder,subfolder,subtype,species_common,species_latin,relative_path
XC1006428 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.i,C.i+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.i\XC1006428 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006703 - Pond Myotis - Myotis dasycneme.wav,1,0,1,0,1,echolocation+type A+type C,General,C.general+echolocation+type_a,Pond Myotis,Myotis dasycneme,type A\XC1006703 - Pond Myotis - Myotis dasycneme.wav
XC1006719 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006719 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006720 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006720 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006722 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006722 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006724 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006724 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006725 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006725 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006727 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1006727 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006738 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006738 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006923 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006923 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006930 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006930 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006932 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006932 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006934 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006934 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006935 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006935 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006938 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1006938 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006940 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1006940 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1006941 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1006941 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007516 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1007516 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007517 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1007517 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007518 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1007518 - Eurasian Serotine - Eptesicus serotinus.wav
XC1007519 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1007519 - Eurasian Serotine - Eptesicus serotinus.wav
XC1007523 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1007523 - Eurasian Serotine - Eptesicus serotinus.wav
XC1007546 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1007546 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007549 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1007549 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007551 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1007551 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007552 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1007552 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007687 - Common Noctule - Nyctalus noctula.wav,0,0,0,1,0,type D,Noctule,D.noctule,Common Noctule,Nyctalus noctula,type D\Noctule\XC1007687 - Common Noctule - Nyctalus noctula.wav
XC1007873 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007873 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007874 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,0,0,0,type B,roosting,B.roosting,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007874 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007875 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007875 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007877 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,0,0,0,0,type A,,type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007877 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007879 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,0,0,type B+type C,roosting,B.roosting+C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007879 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007880 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,1,0,type C+type D,General,C.general+D.thrills_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007880 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007881 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,0,0,0,type A+type B,roosting,B.roosting+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007881 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007882 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,0,0,0,type A+type B,roosting,B.roosting+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007882 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007883 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,1,0,0,type A+type B+type C,roosting,B.roosting+C.general+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007883 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007884 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007884 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007885 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007885 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007886 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,0,0,0,type B,roosting,B.roosting,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007886 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007887 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007887 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007888 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007888 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007889 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,0,0,type B+type C,roosting,B.roosting+C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007889 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007891 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,0,0,type B+type C,roosting,B.roosting+C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007891 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007892 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,1,0,1,echolocation+type A+type B+type C,roosting,B.roosting+C.general+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007892 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007893 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,1,0,1,echolocation+type A+type B+type C,roosting,B.roosting+C.general+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007893 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007894 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007894 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007896 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007896 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007897 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,1,0,1,echolocation+type A+type B+type C,roosting,B.roosting+C.general+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007897 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007898 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,0,1,echolocation+type B+type C,roosting,B.roosting+C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007898 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007899 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,1,1,echolocation+type B+type C+type D,roosting,B.roosting+C.general+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007899 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007900 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,1,echolocation+type C,C.i,C.i+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\C.i\XC1007900 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007901 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,1,1,echolocation+type B+type C+type D,roosting,B.roosting+C.general+D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007901 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007902 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,1,1,echolocation+type C+type D,General,C.general+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1007902 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007903 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,0,1,echolocation+type B+type C,roosting,B.roosting+C.general+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1007903 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1007904 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,1,1,1,echolocation+type A+type B+type C+type D,roosting,B.roosting+C.general+D.thrills_nathusius+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1007904 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008044 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,1,1,echolocation+type C+type D,General,C.general+D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1008044 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008045 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,0,0,1,echolocation+type A+type B,roosting,B.roosting+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1008045 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008046 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,1,1,1,echolocation+type B+type C+type D,roosting,B.roosting+C.general+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1008046 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008047 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1008047 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008048 - Daubenton's Myotis - Myotis daubentonii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Daubenton's Myotis,Myotis daubentonii,type C\General\XC1008048 - Daubenton's Myotis - Myotis daubentonii.wav
XC1008050 - Daubenton's Myotis - Myotis daubentonii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Daubenton's Myotis,Myotis daubentonii,type C\General\XC1008050 - Daubenton's Myotis - Myotis daubentonii.wav
XC1008052 - Daubenton's Myotis - Myotis daubentonii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Daubenton's Myotis,Myotis daubentonii,type C\General\XC1008052 - Daubenton's Myotis - Myotis daubentonii.wav
XC1008054 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,1,0,0,1,echolocation+type B,roosting,B.roosting+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type B\roosting\XC1008054 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008055 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,0,0,type C,General,C.general,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1008055 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008059 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,1,1,0,1,1,echolocation+type A+type B+type D,roosting,B.roosting+D.part_e_nathusius+D.thrills_nathusius+echolocation+type_a,Nathusius's Pipistrelle,Pipistrellus nathusii,type A\XC1008059 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1008337 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1008337 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1009258 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009258 - Common Noctule - Nyctalus noctula.wav
XC1009261 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009261 - Common Noctule - Nyctalus noctula.wav
XC1009263 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009263 - Common Noctule - Nyctalus noctula.wav
XC1009268 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009268 - Common Noctule - Nyctalus noctula.wav
XC1009269 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009269 - Common Noctule - Nyctalus noctula.wav
XC1009271 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009271 - Common Noctule - Nyctalus noctula.wav
XC1009277 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009277 - Common Noctule - Nyctalus noctula.wav
XC1009280 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009280 - Common Noctule - Nyctalus noctula.wav
XC1009281 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009281 - Common Noctule - Nyctalus noctula.wav
XC1009391 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009391 - Common Noctule - Nyctalus noctula.wav
XC1009395 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009395 - Common Noctule - Nyctalus noctula.wav
XC1009396 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009396 - Common Noctule - Nyctalus noctula.wav
XC1009397 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1009397 - Common Noctule - Nyctalus noctula.wav
XC1009712 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,1,0,1,echolocation+type A+type C,General,C.general+echolocation+type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1009712 - Daubenton's Myotis - Myotis daubentonii.wav
XC1009718 - Daubenton's Myotis - Myotis daubentonii.wav,0,0,1,0,0,type C,General,C.general,Daubenton's Myotis,Myotis daubentonii,type C\General\XC1009718 - Daubenton's Myotis - Myotis daubentonii.wav
XC1009726 - Daubenton's Myotis - Myotis daubentonii.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Daubenton's Myotis,Myotis daubentonii,type C\General\XC1009726 - Daubenton's Myotis - Myotis daubentonii.wav
XC1009732 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,1,echolocation+type A,,echolocation+type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1009732 - Daubenton's Myotis - Myotis daubentonii.wav
XC1010442 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1010442 - Daubenton's Myotis - Myotis daubentonii.wav
XC1010631 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1010631 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1010896 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,0,0,1,echolocation+type B,in flight,B.in_flight+echolocation,Eurasian Serotine,Eptesicus serotinus,type B\in flight\XC1010896 - Eurasian Serotine - Eptesicus serotinus.wav
XC1010897 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,0,0,1,echolocation+type B,in flight,B.in_flight+echolocation,Eurasian Serotine,Eptesicus serotinus,type B\in flight\XC1010897 - Eurasian Serotine - Eptesicus serotinus.wav
XC1011134 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,0,0,1,echolocation+type B,in flight,B.in_flight+echolocation,Eurasian Serotine,Eptesicus serotinus,type B\in flight\XC1011134 - Eurasian Serotine - Eptesicus serotinus.wav
